Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-03-02 07:25:00+00:00,86192.4375,86199.1328125,86149.265625,86149.265625,10475520
2025-03-02 07:30:00+00:00,86253.5390625,86261.15625,86223.1875,86223.1875,695461888
2025-03-02 07:35:00+00:00,86204.6328125,86252.2109375,86204.6328125,86252.2109375,683835392
2025-03-02 07:40:00+00:00,86268.1328125,86277.0234375,86196.1953125,86196.1953125,62121984
2025-03-02 07:45:00+00:00,86249.5234375,86261.9609375,86244.9296875,86261.9609375,968382464
2025-03-02 07:50:00+00:00,86149.4765625,86220.5078125,86149.4765625,86220.5078125,236064768
2025-03-02 07:55:00+00:00,86202.1796875,86232.328125,86202.1796875,86222.9375,122081280
2025-03-02 08:00:00+00:00,86062.90625,86207.8046875,86045.9296875,86207.8046875,1340041216
2025-03-02 08:05:00+00:00,85956.84375,86040.7421875,85956.84375,86040.7421875,0
2025-03-02 08:10:00+00:00,85813.359375,85891.140625,85813.359375,85868.3359375,367491072
2025-03-02 08:15:00+00:00,85746.546875,85751.65625,85709.0,85718.4921875,214953984
2025-03-02 08:20:00+00:00,85803.984375,85803.984375,85750.03125,85750.03125,760911872
2025-03-02 08:25:00+00:00,85818.046875,85826.9921875,85810.390625,85826.9921875,21764096
2025-03-02 08:30:00+00:00,85729.2734375,85789.7109375,85729.2734375,85758.5234375,234383360
2025-03-02 08:35:00+00:00,85739.71875,85741.125,85728.8515625,85739.515625,213504000
2025-03-02 08:40:00+00:00,85733.03125,85740.796875,85725.4453125,85735.6328125,675532800
2025-03-02 08:45:00+00:00,85838.0859375,85838.0859375,85806.2734375,85806.2734375,759832576
2025-03-02 08:50:00+00:00,85883.5859375,85899.8984375,85878.5078125,85878.5078125,617086976
2025-03-02 08:55:00+00:00,85747.6796875,85894.7109375,85747.6796875,85894.7109375,810227712
2025-03-02 09:00:00+00:00,85687.28125,85756.2421875,85687.28125,85721.7578125,285239296
2025-03-02 09:05:00+00:00,85769.1640625,85769.1640625,85691.3984375,85691.3984375,100984832
2025-03-02 09:10:00+00:00,85816.671875,85816.671875,85764.171875,85764.171875,785928192
2025-03-02 09:15:00+00:00,85870.921875,85870.921875,85818.2890625,85818.2890625,711698432
2025-03-02 09:20:00+00:00,85816.7734375,85821.78125,85814.171875,85821.6953125,848488448
2025-03-02 09:25:00+00:00,85817.2890625,85834.0546875,85786.5546875,85786.5546875,123107328
2025-03-02 09:30:00+00:00,85963.7578125,85963.7578125,85824.8828125,85824.8828125,53999616
2025-03-02 09:35:00+00:00,85906.3203125,86018.734375,85891.2578125,86018.734375,325357568
2025-03-02 09:40:00+00:00,85999.203125,86025.390625,85935.71875,85935.71875,1036341248
2025-03-02 09:45:00+00:00,85972.328125,86026.5546875,85972.328125,86025.234375,797564928
2025-03-02 09:50:00+00:00,85980.4609375,85984.8203125,85968.5234375,85984.3515625,1064855552
2025-03-02 09:55:00+00:00,85966.28125,85976.0234375,85937.046875,85976.0234375,753133568
2025-03-02 10:00:00+00:00,85848.1875,85879.0546875,85813.3984375,85870.0546875,261644288
2025-03-02 10:05:00+00:00,85842.71875,85866.4140625,85830.6484375,85866.4140625,765384704
2025-03-02 10:10:00+00:00,85783.8359375,85879.9140625,85780.265625,85879.9140625,602560512
2025-03-02 10:15:00+00:00,85796.7265625,85833.078125,85789.015625,85799.546875,764925952
2025-03-02 10:20:00+00:00,85780.1796875,85851.140625,85780.1796875,85851.140625,44679168
2025-03-02 10:25:00+00:00,85805.8828125,85812.5859375,85786.2890625,85793.90625,34359296
2025-03-02 10:30:00+00:00,85878.4765625,85878.4765625,85822.171875,85822.171875,329940992
